"","ID","timepoints","predict_log10N","model"
"1","Aerobic Psychotropic._Cooked Chicken Breast_7_1_2",-1.39853325811578,0.0878213633440095,"Cubic"
"2","Aerobic Psychotropic._Cooked Chicken Breast_7_1_2",0.339817065737962,0.0656393756710987,"Cubic"
"3","Aerobic Psychotropic._Cooked Chicken Breast_7_1_2",2.07816738959171,0.0445828729803869,"Cubic"
"4","Aerobic Psychotropic._Cooked Chicken Breast_7_1_2",3.81651771344545,0.024640350019224,"Cubic"
"5","Aerobic Psychotropic._Cooked Chicken Breast_7_1_2",5.55486803729919,0.00580030153496131,"Cubic"
"6","Aerobic Psychotropic._Cooked Chicken Breast_7_1_2",7.29321836115293,-0.0119487777250501,"Cubic"
"7","Aerobic Psychotropic._Cooked Chicken Breast_7_1_2",9.03156868500668,-0.02861839301346,"Cubic"
"8","Aerobic Psychotropic._Cooked Chicken Breast_7_1_2",10.7699190088604,-0.0442200495829166,"Cubic"
"9","Aerobic Psychotropic._Cooked Chicken Breast_7_1_2",12.5082693327142,-0.0587652526860692,"Cubic"
"10","Aerobic Psychotropic._Cooked Chicken Breast_7_1_2",14.2466196565679,-0.0722655075755671,"Cubic"
"11","Aerobic Psychotropic._Cooked Chicken Breast_7_1_2",15.9849699804216,-0.0847323195040594,"Cubic"
"12","Aerobic Psychotropic._Cooked Chicken Breast_7_1_2",17.7233203042754,-0.0961771937241947,"Cubic"
"13","Aerobic Psychotropic._Cooked Chicken Breast_7_1_2",19.4616706281291,-0.106611635488623,"Cubic"
"14","Aerobic Psychotropic._Cooked Chicken Breast_7_1_2",21.2000209519829,-0.116047150049992,"Cubic"
"15","Aerobic Psychotropic._Cooked Chicken Breast_7_1_2",22.9383712758366,-0.124495242660952,"Cubic"
"16","Aerobic Psychotropic._Cooked Chicken Breast_7_1_2",24.6767215996904,-0.131967418574151,"Cubic"
"17","Aerobic Psychotropic._Cooked Chicken Breast_7_1_2",26.4150719235441,-0.13847518304224,"Cubic"
"18","Aerobic Psychotropic._Cooked Chicken Breast_7_1_2",28.1534222473978,-0.144030041317866,"Cubic"
"19","Aerobic Psychotropic._Cooked Chicken Breast_7_1_2",29.8917725712516,-0.148643498653679,"Cubic"
"20","Aerobic Psychotropic._Cooked Chicken Breast_7_1_2",31.6301228951053,-0.152327060302327,"Cubic"
"21","Aerobic Psychotropic._Cooked Chicken Breast_7_1_2",33.3684732189591,-0.155092231516461,"Cubic"
"22","Aerobic Psychotropic._Cooked Chicken Breast_7_1_2",35.1068235428128,-0.156950517548729,"Cubic"
"23","Aerobic Psychotropic._Cooked Chicken Breast_7_1_2",36.8451738666665,-0.15791342365178,"Cubic"
"24","Aerobic Psychotropic._Cooked Chicken Breast_7_1_2",38.5835241905203,-0.157992455078263,"Cubic"
