"","ID","timepoints","predict_log10N","model"
"1","Pantoea.agglomerans..RDA.R._TSB_15_1_0",0.91889634161322,-1.96509755962542,"Cubic"
"2","Pantoea.agglomerans..RDA.R._TSB_15_1_0",3.3259588031309,-1.90200719986109,"Cubic"
"3","Pantoea.agglomerans..RDA.R._TSB_15_1_0",5.73302126464858,-1.84019104207139,"Cubic"
"4","Pantoea.agglomerans..RDA.R._TSB_15_1_0",8.14008372616627,-1.77963813898923,"Cubic"
"5","Pantoea.agglomerans..RDA.R._TSB_15_1_0",10.5471461876839,-1.72033754334754,"Cubic"
"6","Pantoea.agglomerans..RDA.R._TSB_15_1_0",12.9542086492016,-1.66227830787922,"Cubic"
"7","Pantoea.agglomerans..RDA.R._TSB_15_1_0",15.3612711107193,-1.6054494853172,"Cubic"
"8","Pantoea.agglomerans..RDA.R._TSB_15_1_0",17.768333572237,-1.54984012839439,"Cubic"
"9","Pantoea.agglomerans..RDA.R._TSB_15_1_0",20.1753960337547,-1.4954392898437,"Cubic"
"10","Pantoea.agglomerans..RDA.R._TSB_15_1_0",22.5824584952724,-1.44223602239806,"Cubic"
"11","Pantoea.agglomerans..RDA.R._TSB_15_1_0",24.98952095679,-1.39021937879037,"Cubic"
"12","Pantoea.agglomerans..RDA.R._TSB_15_1_0",27.3965834183077,-1.33937841175355,"Cubic"
"13","Pantoea.agglomerans..RDA.R._TSB_15_1_0",29.8036458798254,-1.28970217402052,"Cubic"
"14","Pantoea.agglomerans..RDA.R._TSB_15_1_0",32.2107083413431,-1.24117971832419,"Cubic"
"15","Pantoea.agglomerans..RDA.R._TSB_15_1_0",34.6177708028608,-1.19380009739749,"Cubic"
"16","Pantoea.agglomerans..RDA.R._TSB_15_1_0",37.0248332643785,-1.14755236397331,"Cubic"
"17","Pantoea.agglomerans..RDA.R._TSB_15_1_0",39.4318957258961,-1.10242557078459,"Cubic"
"18","Pantoea.agglomerans..RDA.R._TSB_15_1_0",41.8389581874138,-1.05840877056424,"Cubic"
"19","Pantoea.agglomerans..RDA.R._TSB_15_1_0",44.2460206489315,-1.01549101604517,"Cubic"
"20","Pantoea.agglomerans..RDA.R._TSB_15_1_0",46.6530831104492,-0.973661359960291,"Cubic"
"21","Pantoea.agglomerans..RDA.R._TSB_15_1_0",49.0601455719669,-0.93290885504253,"Cubic"
"22","Pantoea.agglomerans..RDA.R._TSB_15_1_0",51.4672080334845,-0.893222554024798,"Cubic"
"23","Pantoea.agglomerans..RDA.R._TSB_15_1_0",53.8742704950022,-0.854591509640012,"Cubic"
"24","Pantoea.agglomerans..RDA.R._TSB_15_1_0",56.2813329565199,-0.817004774621086,"Cubic"
