"","ID","timepoints","predict_log10N","model"
"1","Salmonella Typhimurium_Vacuum Beef Striploins_15_1_3",0.0256987856401567,1.77996971331771,"Cubic"
"2","Salmonella Typhimurium_Vacuum Beef Striploins_15_1_3",0.0443946197539918,1.78004382664582,"Cubic"
"3","Salmonella Typhimurium_Vacuum Beef Striploins_15_1_3",0.0630904538678269,1.78055054623663,"Cubic"
"4","Salmonella Typhimurium_Vacuum Beef Striploins_15_1_3",0.081786287981662,1.7814847846825,"Cubic"
"5","Salmonella Typhimurium_Vacuum Beef Striploins_15_1_3",0.100482122095497,1.78284145457577,"Cubic"
"6","Salmonella Typhimurium_Vacuum Beef Striploins_15_1_3",0.119177956209332,1.78461546850878,"Cubic"
"7","Salmonella Typhimurium_Vacuum Beef Striploins_15_1_3",0.137873790323167,1.78680173907388,"Cubic"
"8","Salmonella Typhimurium_Vacuum Beef Striploins_15_1_3",0.156569624437002,1.7893951788634,"Cubic"
"9","Salmonella Typhimurium_Vacuum Beef Striploins_15_1_3",0.175265458550837,1.79239070046969,"Cubic"
"10","Salmonella Typhimurium_Vacuum Beef Striploins_15_1_3",0.193961292664673,1.79578321648509,"Cubic"
"11","Salmonella Typhimurium_Vacuum Beef Striploins_15_1_3",0.212657126778508,1.79956763950196,"Cubic"
"12","Salmonella Typhimurium_Vacuum Beef Striploins_15_1_3",0.231352960892343,1.80373888211262,"Cubic"
"13","Salmonella Typhimurium_Vacuum Beef Striploins_15_1_3",0.250048795006178,1.80829185690943,"Cubic"
"14","Salmonella Typhimurium_Vacuum Beef Striploins_15_1_3",0.268744629120013,1.81322147648473,"Cubic"
"15","Salmonella Typhimurium_Vacuum Beef Striploins_15_1_3",0.287440463233848,1.81852265343085,"Cubic"
"16","Salmonella Typhimurium_Vacuum Beef Striploins_15_1_3",0.306136297347683,1.82419030034016,"Cubic"
"17","Salmonella Typhimurium_Vacuum Beef Striploins_15_1_3",0.324832131461518,1.83021932980498,"Cubic"
"18","Salmonella Typhimurium_Vacuum Beef Striploins_15_1_3",0.343527965575353,1.83660465441766,"Cubic"
"19","Salmonella Typhimurium_Vacuum Beef Striploins_15_1_3",0.362223799689188,1.84334118677055,"Cubic"
"20","Salmonella Typhimurium_Vacuum Beef Striploins_15_1_3",0.380919633803023,1.85042383945598,"Cubic"
"21","Salmonella Typhimurium_Vacuum Beef Striploins_15_1_3",0.399615467916859,1.85784752506631,"Cubic"
"22","Salmonella Typhimurium_Vacuum Beef Striploins_15_1_3",0.418311302030694,1.86560715619387,"Cubic"
"23","Salmonella Typhimurium_Vacuum Beef Striploins_15_1_3",0.437007136144529,1.87369764543101,"Cubic"
"24","Salmonella Typhimurium_Vacuum Beef Striploins_15_1_3",0.455702970258364,1.88211390537007,"Cubic"
"25","Salmonella Typhimurium_Vacuum Beef Striploins_15_1_3",0.474398804372199,1.8908508486034,"Cubic"
"26","Salmonella Typhimurium_Vacuum Beef Striploins_15_1_3",0.493094638486034,1.89990338772334,"Cubic"
"27","Salmonella Typhimurium_Vacuum Beef Striploins_15_1_3",0.511790472599869,1.90926643532223,"Cubic"
"28","Salmonella Typhimurium_Vacuum Beef Striploins_15_1_3",0.530486306713704,1.91893490399241,"Cubic"
"29","Salmonella Typhimurium_Vacuum Beef Striploins_15_1_3",0.549182140827539,1.92890370632623,"Cubic"
"30","Salmonella Typhimurium_Vacuum Beef Striploins_15_1_3",0.567877974941374,1.93916775491604,"Cubic"
"31","Salmonella Typhimurium_Vacuum Beef Striploins_15_1_3",0.58657380905521,1.94972196235417,"Cubic"
"32","Salmonella Typhimurium_Vacuum Beef Striploins_15_1_3",0.605269643169045,1.96056124123297,"Cubic"
"33","Salmonella Typhimurium_Vacuum Beef Striploins_15_1_3",0.62396547728288,1.97168050414478,"Cubic"
"34","Salmonella Typhimurium_Vacuum Beef Striploins_15_1_3",0.642661311396715,1.98307466368195,"Cubic"
"35","Salmonella Typhimurium_Vacuum Beef Striploins_15_1_3",0.66135714551055,1.99473863243681,"Cubic"
"36","Salmonella Typhimurium_Vacuum Beef Striploins_15_1_3",0.680052979624385,2.00666732300172,"Cubic"
"37","Salmonella Typhimurium_Vacuum Beef Striploins_15_1_3",0.69874881373822,2.01885564796902,"Cubic"
"38","Salmonella Typhimurium_Vacuum Beef Striploins_15_1_3",0.717444647852055,2.03129851993104,"Cubic"
"39","Salmonella Typhimurium_Vacuum Beef Striploins_15_1_3",0.73614048196589,2.04399085148014,"Cubic"
"40","Salmonella Typhimurium_Vacuum Beef Striploins_15_1_3",0.754836316079725,2.05692755520865,"Cubic"
"41","Salmonella Typhimurium_Vacuum Beef Striploins_15_1_3",0.77353215019356,2.07010354370893,"Cubic"
"42","Salmonella Typhimurium_Vacuum Beef Striploins_15_1_3",0.792227984307395,2.0835137295733,"Cubic"
"43","Salmonella Typhimurium_Vacuum Beef Striploins_15_1_3",0.810923818421231,2.09715302539412,"Cubic"
"44","Salmonella Typhimurium_Vacuum Beef Striploins_15_1_3",0.829619652535066,2.11101634376374,"Cubic"
"45","Salmonella Typhimurium_Vacuum Beef Striploins_15_1_3",0.848315486648901,2.12509859727448,"Cubic"
"46","Salmonella Typhimurium_Vacuum Beef Striploins_15_1_3",0.867011320762736,2.1393946985187,"Cubic"
"47","Salmonella Typhimurium_Vacuum Beef Striploins_15_1_3",0.885707154876571,2.15389956008875,"Cubic"
"48","Salmonella Typhimurium_Vacuum Beef Striploins_15_1_3",0.904402988990406,2.16860809457695,"Cubic"
"49","Salmonella Typhimurium_Vacuum Beef Striploins_15_1_3",0.923098823104241,2.18351521457566,"Cubic"
"50","Salmonella Typhimurium_Vacuum Beef Striploins_15_1_3",0.941794657218076,2.19861583267723,"Cubic"
"51","Salmonella Typhimurium_Vacuum Beef Striploins_15_1_3",0.960490491331911,2.21390486147398,"Cubic"
"52","Salmonella Typhimurium_Vacuum Beef Striploins_15_1_3",0.979186325445746,2.22937721355828,"Cubic"
"53","Salmonella Typhimurium_Vacuum Beef Striploins_15_1_3",0.997882159559581,2.24502780152245,"Cubic"
"54","Salmonella Typhimurium_Vacuum Beef Striploins_15_1_3",1.01657799367342,2.26085153795885,"Cubic"
"55","Salmonella Typhimurium_Vacuum Beef Striploins_15_1_3",1.03527382778725,2.27684333545981,"Cubic"
"56","Salmonella Typhimurium_Vacuum Beef Striploins_15_1_3",1.05396966190109,2.29299810661768,"Cubic"
"57","Salmonella Typhimurium_Vacuum Beef Striploins_15_1_3",1.07266549601492,2.30931076402481,"Cubic"
"58","Salmonella Typhimurium_Vacuum Beef Striploins_15_1_3",1.09136133012876,2.32577622027354,"Cubic"
"59","Salmonella Typhimurium_Vacuum Beef Striploins_15_1_3",1.11005716424259,2.3423893879562,"Cubic"
"60","Salmonella Typhimurium_Vacuum Beef Striploins_15_1_3",1.12875299835643,2.35914517966516,"Cubic"
"61","Salmonella Typhimurium_Vacuum Beef Striploins_15_1_3",1.14744883247026,2.37603850799273,"Cubic"
"62","Salmonella Typhimurium_Vacuum Beef Striploins_15_1_3",1.1661446665841,2.39306428553128,"Cubic"
"63","Salmonella Typhimurium_Vacuum Beef Striploins_15_1_3",1.18484050069793,2.41021742487315,"Cubic"
"64","Salmonella Typhimurium_Vacuum Beef Striploins_15_1_3",1.20353633481177,2.42749283861067,"Cubic"
"65","Salmonella Typhimurium_Vacuum Beef Striploins_15_1_3",1.2222321689256,2.44488543933619,"Cubic"
"66","Salmonella Typhimurium_Vacuum Beef Striploins_15_1_3",1.24092800303944,2.46239013964206,"Cubic"
