"","ID","timepoints","predict_log10N","model"
"1","Arthrobacter sp. 77_TGE agar_0_1_5",5.18714401952803,0.287312009742621,"Cubic"
"2","Arthrobacter sp. 77_TGE agar_0_1_5",8.18341095223877,0.308641326096107,"Cubic"
"3","Arthrobacter sp. 77_TGE agar_0_1_5",11.1796778849495,0.329935066726018,"Cubic"
"4","Arthrobacter sp. 77_TGE agar_0_1_5",14.1759448176603,0.351192276195307,"Cubic"
"5","Arthrobacter sp. 77_TGE agar_0_1_5",17.172211750371,0.372411999066929,"Cubic"
"6","Arthrobacter sp. 77_TGE agar_0_1_5",20.1684786830818,0.393593279903835,"Cubic"
"7","Arthrobacter sp. 77_TGE agar_0_1_5",23.1647456157925,0.41473516326898,"Cubic"
"8","Arthrobacter sp. 77_TGE agar_0_1_5",26.1610125485032,0.435836693725317,"Cubic"
"9","Arthrobacter sp. 77_TGE agar_0_1_5",29.157279481214,0.456896915835799,"Cubic"
"10","Arthrobacter sp. 77_TGE agar_0_1_5",32.1535464139247,0.477914874163379,"Cubic"
"11","Arthrobacter sp. 77_TGE agar_0_1_5",35.1498133466355,0.498889613271012,"Cubic"
"12","Arthrobacter sp. 77_TGE agar_0_1_5",38.1460802793462,0.51982017772165,"Cubic"
"13","Arthrobacter sp. 77_TGE agar_0_1_5",41.142347212057,0.540705612078247,"Cubic"
"14","Arthrobacter sp. 77_TGE agar_0_1_5",44.1386141447677,0.561544960903755,"Cubic"
"15","Arthrobacter sp. 77_TGE agar_0_1_5",47.1348810774784,0.582337268761129,"Cubic"
"16","Arthrobacter sp. 77_TGE agar_0_1_5",50.1311480101892,0.603081580213322,"Cubic"
"17","Arthrobacter sp. 77_TGE agar_0_1_5",53.1274149428999,0.623776939823288,"Cubic"
"18","Arthrobacter sp. 77_TGE agar_0_1_5",56.1236818756107,0.644422392153978,"Cubic"
"19","Arthrobacter sp. 77_TGE agar_0_1_5",59.1199488083214,0.665016981768348,"Cubic"
