"","ID","timepoints","predict_log10N","model"
"1","Pseudomonas spp._Salted Chicken Breast_7_1_2",-1.04261935247851,0.0219436042217365,"Cubic"
"2","Pseudomonas spp._Salted Chicken Breast_7_1_2",0.617160401115387,0.00739447470517107,"Cubic"
"3","Pseudomonas spp._Salted Chicken Breast_7_1_2",2.27694015470928,-0.00634270368967965,"Cubic"
"4","Pseudomonas spp._Salted Chicken Breast_7_1_2",3.93671990830318,-0.0192763595181589,"Cubic"
"5","Pseudomonas spp._Salted Chicken Breast_7_1_2",5.59649966189708,-0.0314149213356067,"Cubic"
"6","Pseudomonas spp._Salted Chicken Breast_7_1_2",7.25627941549097,-0.0427668176973658,"Cubic"
"7","Pseudomonas spp._Salted Chicken Breast_7_1_2",8.91605916908487,-0.0533404771587764,"Cubic"
"8","Pseudomonas spp._Salted Chicken Breast_7_1_2",10.5758389226788,-0.0631443282751816,"Cubic"
"9","Pseudomonas spp._Salted Chicken Breast_7_1_2",12.2356186762727,-0.072186799601922,"Cubic"
"10","Pseudomonas spp._Salted Chicken Breast_7_1_2",13.8953984298666,-0.0804763196943393,"Cubic"
"11","Pseudomonas spp._Salted Chicken Breast_7_1_2",15.5551781834605,-0.0880213171077751,"Cubic"
"12","Pseudomonas spp._Salted Chicken Breast_7_1_2",17.2149579370544,-0.0948302203975705,"Cubic"
"13","Pseudomonas spp._Salted Chicken Breast_7_1_2",18.8747376906482,-0.100911458119068,"Cubic"
"14","Pseudomonas spp._Salted Chicken Breast_7_1_2",20.5345174442421,-0.106273458827609,"Cubic"
"15","Pseudomonas spp._Salted Chicken Breast_7_1_2",22.194297197836,-0.110924651078534,"Cubic"
"16","Pseudomonas spp._Salted Chicken Breast_7_1_2",23.8540769514299,-0.114873463427185,"Cubic"
"17","Pseudomonas spp._Salted Chicken Breast_7_1_2",25.5138567050238,-0.118128324428905,"Cubic"
"18","Pseudomonas spp._Salted Chicken Breast_7_1_2",27.1736364586177,-0.120697662639033,"Cubic"
"19","Pseudomonas spp._Salted Chicken Breast_7_1_2",28.8334162122116,-0.122589906612913,"Cubic"
"20","Pseudomonas spp._Salted Chicken Breast_7_1_2",30.4931959658055,-0.123813484905885,"Cubic"
"21","Pseudomonas spp._Salted Chicken Breast_7_1_2",32.1529757193994,-0.124376826073291,"Cubic"
